ARAYES SHRAK | ARAYES SHRAK - yes
Kopytka z Cebulą | KOPYTKA Z CEBULĄ - yes
Kopytka z Grzybami | KOPYTKA Z GRZYBAMI - yes
Kopytka z Pieczarkami Leśnymi | KoPyTka z Pieczarkami Leśnymi - yes
LEMON CURD : LEMON CURD WITH THYME | LEMON CURD : LEMON CURD WITH THYME (VARIATION) - yes
Lavender Honey Cake | Lavender Honey Cake - yes
Lavender Panna Cotta | LAVENDER PANNA COTTA - yes
Lemon Herb Grilled Chicken | LEMON HERB GRILLED CHICKEN - yes
Lemon Herb Roasted Vegetables | LEMON HERB ROASTED - no
Makowiec ze Śliwkami | MAKOWIEC ZE ŚLIWKAMI - yes
Makowiec | MAKOWIEC - yes
Minestrone | Minestrone - yes
Miso Glazed Eggplant | Miso Glazed Eggplant - yes
Mixed Berry Jam | MIXED BERRY JAM - yes
Mushroom Risotto | CARPACCIO DI PESCE SPADA - no
Nalesniki Owocowe | NALESNIKI OWOCOWE - yes
Obwarzanek Warszawski | OBWARZANEK WARSZAWSKI - yes
Ogórkowa Zupa |  - no
Osso Buco | OSSO BUCO - yes
PIERNIK TRADYCYJNY + PIERNIK NOWOCZESNY Z CZEKOLADĄ | PIERNIK TRADYCYJNY + PIERNIK NOWOCZESNY Z CZEKOLADĄ - yes
PORK CHOPS WITH APPLES : PORK CHOPS WITH MUSHROOM SAUCE | PORK CHOPS WITH APPLES : PORK CHOPS WITH MUSHROOM SAUCE - yes
Pan Roasted Halibut with Capers | PAN ROASTED HALIBUT WITH CAPERS - yes
Pan Seared Cod | PAN SEARED COD - yes
Paprikash | Paprikash - yes
Paszteciki | Paszteciki - yes
Peach Cobbler | Assembly: 1. Preheat oven to 375°F (I90°C) - no
Piernik z Orzechami | PIERNIK Z ORZECHAMI - yes
Piernik z Śliwkami | Podaw4ć ciepło ze śmietaną lub lodami. - no
Piernik ze Zmieszanymi Przyprawami | PIERNIK ZE ZMIESZANYMI PRZYPRAWAMI - yes
Pierniki Śliwkowe | Pierniki Śliwkowe - yes
Placki Ziemniaczane | PLACKI ZIEMNIACZANE - yes
Placki Żółte z Kukurydzą | PLACKI ŻÓŁTE Z KUKURYDZĄ - yes
Profiteroles | PROFITEROLES - yes
RYE BREAD WITH CARAWAY + RYE BREAD WITH SUNFLOWER SEEDS | RYE BREAD WITH CARAWAY + RYE BREAD WITH SUNFLOWER SEEDS - yes
Roasted Asparagus with Parmesan | Simple yet elegant vegetable dish that complements - no
Roasted Beet and Walnut Dip |  - no
Roasted Chicken with Root Vegetables | ROASTED CHICKEN WITH ROOT VEGETABLES - yes
Roasted Garlic Broccoli | ROASTED GARLIC BROCCOLI - yes
Roasted Sweet Potato Soup | ROASTED SWEET POTATO SOUP - yes
Rosemary Focaccia Bread | ROSEMARY FOCACCIA BREAD - yes
Sauteed Mushroom Medley | SAUTEED MUSHROOM MEDLEY - yes
Scallop and Saffron Risotto | SCALLOP AND SAFFRON RISOTTO - yes
Sernik Malinowy ze Czekoladą | SERNIK MALINOWY ZE CZEKOLADĄ - yes
Sernik z Malinami i Białą Czekoladą | SERNIK Z MALINAMI I BIAŁĄ CZEKOLADĄ - yes
Smażone Pierniki | SMAŻONE PIERNIKI - yes
Sole Meunière | SOLE MEUNIÈRE - yes
Sole with Brown Butter and Capers | S0le with Brown Butter and Capers - yes
Sos z Pomidorów i Bazylii | SOS Z POMIDORÓW I BAZYLII - yes
Spinach and Ricotta Pie | SPINACH AND RICOTTA PIE - yes
Sweet Potato Salad | Sweet Potato Salad - yes
Tomato Basil Pasta | TOMATO BASIL PASTA - yes
Tomato Lentil Soup | TOMATO LENTIL SOUP - yes
Whipped Goat Cheese Dip | WHIPPED GOAT CHEESE DIP - yes
Zupa Koperkowa | ZUPA KOPERKOWA - yes
Zupa Soczewicowa z Warzywami | ZUPA SOCZEWICOWA Z WARZYWAMI - yes
Żurawina Kompot | Żurawina Kompot - yes
Żurek Białostocki | ŻUREK BIAŁOSTOCKI - yes
Żurek Krakowski | XxYyZz salt and pepper - no
Żurek Litewski | ŻUREK LITEWSKI - yes
Żurek Śląski | Żurek Śląski - yes
Żurek | ŻUREK - yes
